id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
#meta +id,#meta +code,#loc +airport +type,#loc +airport +name,#geo +lat,#geo +lon,#geo +elevation +ft,#region +continent +code,#country +name,#country +code +iso2,#adm1 +name,#adm1 +code +iso,#adm1 +code +local,#loc +municipality +name,#status +scheduled,#loc +airport +code +gps,#loc +airport +code +iata,#loc +airport +code +local,#meta +url +airport,#meta +url +wikipedia,#meta +keywords,#meta +score,#date +updated
5453,PHNL,large_airport,Daniel K Inouye International Airport,21.32062,-157.924228,13,OC,United States,US,Hawaii,US-HI,HI,Honolulu,1,PHNL,HNL,HNL,http://airports.hawaii.gov/hnl/,https://en.wikipedia.org/wiki/Daniel_K._Inouye_International_Airport,"Hickam Air Force Base, HIK, PHIK, KHNL, Honolulu International",1029375,2022-03-08T15:59:42+00:00
5447,PHJR,medium_airport,Kalaeloa Airport,21.3074,-158.070009,30,OC,United States,US,Hawaii,US-HI,HI,Kapolei,0,PHJR,JRF,JRF,http://airports.hawaii.gov/jrf/,https://en.wikipedia.org/wiki/Kalaeloa_Airport,"NAX, Naval Air Station Barbers Point, John Rodgers Field",275,2022-03-08T16:03:18+00:00
