Date,TMAX,TMIN,TAVG
2011-12-31,10125,-111,1008.4473684210526
2012-01-01,10349,-106,1130.4588235294118
2012-01-02,10322,-78,1138.6235294117648
2012-01-03,10217,-83,1139.594117647059
2012-01-04,10264,-83,1134.364705882353
2012-01-05,10152,-72,1124.3470588235296
2012-01-06,10149,-67,1108.0
2012-01-07,10169,-56,966.7140000000002
2012-01-08,10234,-89,1126.9705882352941
2012-01-09,10237,-72,1129.270588235294
2012-01-10,10115,-61,1131.4941176470588
2012-01-11,10193,-111,889.4095238095235
2012-01-12,10220,-150,1112.0
2012-01-13,10173,-128,1125.5470588235294
2012-01-14,10163,-100,1131.1882352941175
2012-01-15,10058,-100,1110.6705882352942
2012-01-16,10075,-89,925.7414999999999
2012-01-17,10227,-156,1048.161111111111
2012-01-18,10112,-100,1126.6588235294118
2012-01-19,10027,-44,1059.7722222222224
2012-01-20,10054,-56,1127.0235294117647
2012-01-21,9956,-44,1052.2388888888886
2012-12-15,10044,-67,938.3700000000001
2012-12-16,10064,-78,950.385
2012-12-17,10027,-122,1112.7529411764706
2012-12-18,10051,-78,1037.9166666666667
2012-12-19,10142,-128,915.9438095238097
2012-12-20,10240,-167,1120.7588235294118
2012-12-21,10193,-139,1119.2941176470588
2012-12-22,10146,-139,1113.2941176470588
2012-12-23,10112,-139,1123.5294117647059
2012-12-24,10098,-94,895.8399999999999
2012-12-25,10244,-172,979.6505263157895
2012-12-26,10132,-161,997.2631578947369
2012-12-27,10112,-128,977.5894736842106
2012-12-28,10186,-150,1112.9705882352941
2012-12-29,10210,-167,1112.2764705882355
2012-12-30,10163,-139,1103.276470588235
2012-12-31,70,0.0,18.08
2013-01-01,220,0.0,41.809090909090905
2013-01-02,350,0.0,46.01
2013-01-03,210,0.0,51.410000000000004
2013-01-04,210,0.0,52.25
2013-01-05,170,0.0,32.28
2013-01-06,210,0.0,51.089999999999996
2013-01-07,190,0.0,50.11
2013-01-08,280,0.0,70.91999999999999
2013-01-09,190,0.0,53.05
2013-01-10,180,0.0,50.08
2013-01-11,360,0.0,59.96999999999999
2013-01-12,100,-12.0,15.65
2013-01-13,140,-10.0,22.799999999999997
2013-01-14,180,-8.0,29.423076923076927
2013-01-15,210,-8.0,49.03
2013-01-16,230,0.0,57.410000000000004
2013-01-17,210,0.0,50.08
2013-01-18,220,0.0,57.339999999999996
2013-01-19,290,0.0,70.05
2013-01-20,50,0.0,21.84
2013-01-21,270,0.0,66.11
2013-12-15,0.0,0.0,0.0
2013-12-16,0.0,0.0,0.0
2013-12-17,0.0,0.0,0.0
2013-12-18,0.0,0.0,0.0
2013-12-19,0.0,0.0,0.0
2013-12-20,0.0,0.0,0.0
2013-12-21,0.0,0.0,0.0
2013-12-22,0.5,0.02,0.26
2013-12-23,0.6,0.06,0.38666666666666666
2013-12-24,0.0,0.0,0.0
2013-12-25,0.0,0.0,0.0
2013-12-26,0.0,0.0,0.0
2013-12-27,0.0,0.0,0.0
2013-12-28,0.0,0.0,0.0
2013-12-29,1.6,0.11,0.9033333333333333
2013-12-30,0.0,0.0,0.0
2013-12-31,10135,-83,1004.4894736842105
2014-01-01,10203,-50,962.1525000000001
2014-01-02,10234,-83,913.2661904761904
2014-01-03,10054,-78,955.805
2014-01-04,10149,-89,894.9828571428569
2014-01-05,10288,-178,889.5314285714283
2014-01-06,10281,-172,910.8723809523809
2014-01-07,10159,-67,918.8428571428572
2014-01-08,10176,-72,904.8571428571429
2014-01-09,10095,-78,957.9399999999999
2014-01-10,10068,-111,953.6600000000001
2014-01-11,10088,-56,956.2549999999999
2014-01-12,10051,-94,954.6
2014-01-13,10135,-111,957.2
2014-01-14,89,-72,17.767058823529414
2014-01-15,10190,-89,965.0219999999999
2014-01-16,10220,-94,940.8699999999999
2014-01-17,10196,-89,952.05
2014-01-18,10200,-100,958.0050000000001
2014-01-19,10142,-122,951.8100000000002
2014-01-20,10234,-94,943.7350000000002
2014-01-21,10203,-172,961.2400000000001
2014-12-15,10186,-50,819.225652173913
2014-12-16,10217,-78,954.03
2014-12-17,10163,-50,911.847619047619
2014-12-18,10176,-33,857.7227272727272
2014-12-19,10183,-78,910.3
2014-12-20,10146,-72,953.5200000000001
2014-12-21,10034,-44,887.9080952380953
2014-12-22,10071,-44,919.5999999999999
2014-12-23,10193,-111,1020.6378947368421
2014-12-24,10075,-106,944.4900000000001
2014-12-25,10000,-56,883.6333333333331
2014-12-26,10186,-106,850.2354545454546
2014-12-27,10244,-133,953.6960000000001
2014-12-28,10169,-128,898.4047619047619
2014-12-29,10278,-150,936.8985
2014-12-30,10417,-228,864.5045454545456
2014-12-31,10318,-200,996.6999999999999
2015-01-01,10217,-139,946.4039999999999
2015-01-02,10169,-100,949.21
2015-01-03,10179,-122,932.2940000000001
2015-01-04,10301,-167,935.5020000000002
2015-01-05,10213,-67,968.0150000000001
2015-01-06,10268,-11,958.9550000000002
2015-01-07,10379,-89,925.9857142857143
2015-01-08,10210,-44,964.915
2015-01-09,10268,-72,862.3386363636364
2015-01-10,10139,-33,904.0380952380954
2015-01-11,10173,-28,1001.9473684210526
